order_id,sku,customer_id,customer_name,qty,priority,create_time,due_time,actual_completion_time,estimated_proc_hours,status,machine_type,family
WO-2025-000014,BUM-006,C019,布雷博,224,P2,2025-11-27 08:00:00,2025-12-02 07:00:00,2025-12-02 06:56:56,1.29,已完工,油压,BUM
WO-2025-000015,TLM-015,C013,问界,50,P0,2025-02-09 09:00:00,2025-02-10 09:00:00,2025-02-10 07:19:08,0.97,已完工,油压,TLM
WO-2026-000016,BUM-006,C011,理想汽车,58,P2,2026-04-22 13:00:00,2026-04-29 04:00:00,2026-04-29 04:13:16,0.37,已完工,油压,BUM
WO-2024-000017,LFR-011,C009,路特斯,297,P1,2024-08-18 10:00:00,2024-08-20 12:00:00,,0.65,已取消,两板,LFR
WO-2026-000018,TLM-015,C017,麦格纳,356,P2,2026-03-11 11:00:00,2026-03-17 20:00:00,2026-03-17 20:08:51,6.49,已完工,油压,TLM
WO-2025-000019,LFR-002,C013,问界,50,P2,2025-01-30 10:00:00,2025-02-03 21:00:00,2025-02-03 18:08:38,0.19,已完工,两板,LFR
WO-2025-000020,TLP-004,C014,阿维塔,188,P1,2025-05-20 15:00:00,2025-05-23 02:00:00,2025-05-23 01:53:33,0.97,已完工,双色,TLP
WO-2024-000021,CUP-030,C012,蔚来汽车,58,P2,2024-03-20 16:00:00,2024-03-27 12:00:00,2024-03-27 12:32:44,0.03,已完工,全电动,CUP
WO-2025-000022,WLC-001,C002,本田技研,158,P2,2025-05-07 11:00:00,2025-05-13 14:00:00,2025-05-13 19:23:32,1.05,已完工,双色,WLC
WO-2024-000023,LRB-004,C004,佛吉亚,55,P0,2024-05-22 15:00:00,2024-05-23 11:00:00,,0.19,待开工,两板,LRB
WO-2026-000024,CUP-017,C020,采埃孚,1681,P2,2026-04-18 15:00:00,2026-04-24 20:00:00,2026-04-24 22:40:28,2.66,已完工,全电动,CUP
WO-2025-000025,TLP-008,C001,东风彼欧,189,P2,2025-10-26 09:00:00,2025-11-04 18:00:00,,0.25,加工中,双色,TLP
WO-2025-000026,BUM-025,C020,采埃孚,131,P2,2025-11-24 13:00:00,2025-12-04 02:00:00,2025-12-04 03:05:33,0.7,已完工,油压,BUM
WO-2025-000027,LRB-016,C017,麦格纳,191,P2,2025-02-12 15:00:00,2025-02-18 08:00:00,2025-02-18 11:53:45,1.22,已完工,两板,LRB
WO-2024-000028,DUO-002,C004,佛吉亚,50,P1,2024-12-14 16:00:00,2024-12-17 05:00:00,,0.25,待开工,双色,DUO
WO-2025-000029,VEN-029,C008,岚图汽车,110,P1,2025-02-03 15:00:00,2025-02-08 00:00:00,2025-02-08 00:21:08,0.07,已完工,全电动,VEN
WO-2025-000030,DRH-014,C001,东风彼欧,360,P2,2025-11-06 14:00:00,2025-11-12 14:00:00,,1.38,加工中,全电动,DRH
WO-2025-000031,DRH-010,C007,零跑汽车,696,P1,2025-08-15 13:00:00,2025-08-18 16:00:00,2025-08-18 21:23:32,10.53,已完工,全电动,DRH
WO-2026-000032,DRH-003,C004,佛吉亚,206,P1,2026-03-04 12:00:00,2026-03-09 04:00:00,2026-03-09 04:33:56,0.27,已完工,全电动,DRH
WO-2024-000033,WLC-007,C001,东风彼欧,222,P2,2024-10-16 09:00:00,2024-10-21 05:00:00,2024-10-21 01:20:53,1.49,已完工,双色,WLC
WO-2025-000034,LFR-002,C020,采埃孚,259,P1,2025-05-18 13:00:00,2025-05-21 03:00:00,2025-05-20 19:15:52,1.01,已完工,两板,LFR
WO-2024-000035,CUP-009,C016,安波福,150,P1,2024-08-10 14:00:00,2024-08-13 07:00:00,2024-08-12 22:12:25,2.55,已完工,全电动,CUP
WO-2024-000036,CUP-001,C020,采埃孚,50,P1,2024-10-28 16:00:00,2024-11-02 01:00:00,2024-11-01 15:10:25,0.19,已完工,全电动,CUP
WO-2024-000037,LFR-005,C011,理想汽车,296,P2,2024-10-11 16:00:00,2024-10-16 22:00:00,2024-10-16 14:48:25,1.17,已完工,两板,LFR
WO-2024-000038,DUO-010,C016,安波福,217,P1,2024-04-24 11:00:00,2024-04-27 11:00:00,2024-04-27 00:41:20,0.22,已完工,双色,DUO
WO-2025-000039,TLM-008,C008,岚图汽车,54,P0,2025-07-07 11:00:00,2025-07-09 07:00:00,2025-07-09 11:52:50,0.96,已完工,油压,TLM
WO-2024-000040,LFR-008,C013,问界,219,P2,2024-06-14 15:00:00,2024-06-19 17:00:00,2024-06-19 22:14:16,0.06,已完工,两板,LFR
WO-2024-000041,DUO-020,C013,问界,295,P2,2024-01-27 11:00:00,2024-02-05 16:00:00,2024-02-05 19:33:34,4.02,已完工,双色,DUO
WO-2024-000042,CUP-022,C016,安波福,439,P1,2024-06-18 18:00:00,2024-06-21 00:00:00,2024-06-21 02:10:30,0.56,已完工,全电动,CUP
WO-2025-000043,TLP-013,C002,本田技研,50,P2,2025-02-17 08:00:00,2025-02-23 11:00:00,,0.09,待开工,双色,TLP
WO-2024-000044,TLM-002,C009,路特斯,53,P0,2024-07-25 09:00:00,2024-07-26 15:00:00,2024-07-26 19:05:03,0.16,已完工,油压,TLM
WO-2025-000045,LRB-001,C017,麦格纳,50,P1,2025-06-16 11:00:00,2025-06-20 11:00:00,2025-06-20 05:05:12,0.33,已完工,两板,LRB
WO-2025-000046,HND-026,C018,李尔,263,P2,2025-05-08 11:00:00,2025-05-16 09:00:00,,0.19,待开工,油压,HND
WO-2024-000047,LRB-022,C020,采埃孚,266,P2,2024-01-10 10:00:00,2024-01-16 21:00:00,2024-01-17 02:37:28,0.49,已完工,两板,LRB
WO-2025-000048,DRH-010,C009,路特斯,50,P2,2025-08-11 09:00:00,2025-08-16 06:00:00,2025-08-15 23:42:55,0.76,已完工,全电动,DRH
WO-2024-000049,BUM-026,C018,李尔,154,P2,2024-10-07 13:00:00,2024-10-16 15:00:00,2024-10-16 07:19:23,0.73,已完工,油压,BUM
WO-2024-000050,DUO-007,C009,路特斯,50,P2,2024-02-18 08:00:00,2024-02-25 05:00:00,,0.2,加工中,双色,DUO
WO-2025-000051,VEN-007,C009,路特斯,218,P2,2025-08-16 16:00:00,2025-08-22 16:00:00,2025-08-22 14:23:31,1.69,已完工,全电动,VEN
WO-2024-000052,HND-016,C019,布雷博,309,P1,2024-05-02 15:00:00,2024-05-05 07:00:00,2024-05-05 01:44:25,0.34,已完工,油压,HND
WO-2024-000053,VEN-025,C019,布雷博,725,P1,2024-09-07 15:00:00,2024-09-12 15:00:00,,2.61,待开工,全电动,VEN
WO-2025-000054,VEN-008,C005,比亚迪,143,P2,2025-07-15 16:00:00,2025-07-21 21:00:00,2025-07-21 17:32:32,1.41,已完工,全电动,VEN
WO-2024-000055,BUM-018,C012,蔚来汽车,129,P1,2024-01-07 14:00:00,2024-01-09 18:00:00,,0.42,待开工,油压,BUM
WO-2024-000056,CUP-007,C010,极氪,541,P1,2024-09-12 09:00:00,2024-09-14 11:00:00,2024-09-14 08:54:45,0.87,已完工,全电动,CUP
WO-2025-000057,TLP-023,C001,东风彼欧,302,P1,2025-01-05 14:00:00,2025-01-10 11:00:00,2025-01-10 06:07:40,1.24,已完工,双色,TLP
WO-2024-000058,TLM-013,C009,路特斯,214,P2,2024-11-23 08:00:00,2024-12-03 06:00:00,2024-12-03 11:49:08,1.92,已完工,油压,TLM
WO-2025-000059,LRB-016,C008,岚图汽车,79,P1,2025-04-12 13:00:00,2025-04-16 15:00:00,2025-04-16 04:48:42,0.51,已完工,两板,LRB
WO-2024-000060,DRH-022,C003,伟世通,87,P2,2024-08-23 17:00:00,2024-08-29 02:00:00,2024-08-29 06:55:14,0.57,已完工,全电动,DRH
WO-2026-000061,DRH-020,C009,路特斯,50,P0,2026-04-05 11:00:00,2026-04-07 07:00:00,2026-04-07 12:29:18,0.73,已完工,全电动,DRH
WO-2024-000062,VEN-020,C003,伟世通,153,P2,2024-11-22 08:00:00,2024-11-27 05:00:00,2024-11-27 01:13:39,0.34,已完工,全电动,VEN
WO-2024-000063,LFR-007,C015,马瑞利,105,P2,2024-04-11 12:00:00,2024-04-16 19:00:00,2024-04-16 09:45:28,0.09,已完工,两板,LFR
WO-2026-000064,HND-022,C011,理想汽车,77,P2,2026-01-19 11:00:00,2026-01-25 01:00:00,,0.23,待开工,油压,HND
WO-2024-000065,BUM-023,C018,李尔,73,P1,2024-10-26 16:00:00,2024-10-28 22:00:00,,0.02,待开工,油压,BUM
WO-2024-000066,TLP-007,C007,零跑汽车,73,P1,2024-11-21 14:00:00,2024-11-25 10:00:00,2024-11-25 07:04:41,0.08,已完工,双色,TLP
WO-2026-000067,WLC-001,C001,东风彼欧,301,P1,2026-03-23 14:00:00,2026-03-27 07:00:00,,1.82,加工中,双色,WLC
WO-2025-000068,TLM-014,C011,理想汽车,328,P0,2025-04-21 13:00:00,2025-04-22 20:00:00,,5.81,待开工,油压,TLM
WO-2025-000069,VEN-018,C020,采埃孚,212,P2,2025-12-24 13:00:00,2026-01-01 22:00:00,2026-01-01 19:50:04,1.48,已完工,全电动,VEN
WO-2025-000070,LRB-021,C019,布雷博,249,P1,2025-01-27 08:00:00,2025-01-30 02:00:00,2025-01-29 21:25:47,1.49,已完工,两板,LRB
WO-2024-000071,BUM-017,C020,采埃孚,110,P1,2024-09-21 15:00:00,2024-09-26 14:00:00,,0.12,待开工,油压,BUM
WO-2025-000072,WLC-021,C019,布雷博,60,P0,2025-03-03 09:00:00,2025-03-04 18:00:00,2025-03-04 23:23:25,1.07,已完工,双色,WLC
WO-2024-000073,VEN-017,C020,采埃孚,78,P2,2024-07-25 14:00:00,2024-08-01 16:00:00,2024-08-01 07:41:13,0.26,已完工,全电动,VEN
WO-2025-000074,TLP-008,C007,零跑汽车,206,P2,2025-06-04 18:00:00,2025-06-12 02:00:00,,0.24,待开工,双色,TLP
WO-2025-000075,DUO-010,C002,本田技研,157,P2,2025-03-29 13:00:00,2025-04-06 03:00:00,2025-04-06 08:32:08,0.16,已完工,双色,DUO
WO-2025-000076,HND-013,C016,安波福,1005,P1,2025-09-03 12:00:00,2025-09-06 07:00:00,,12.91,待开工,油压,HND
WO-2026-000077,VEN-018,C003,伟世通,108,P2,2026-04-14 10:00:00,2026-04-19 21:00:00,2026-04-20 00:39:31,0.88,已完工,全电动,VEN
WO-2024-000078,BUM-004,C016,安波福,259,P2,2024-01-30 08:00:00,2024-02-04 04:00:00,2024-02-04 05:41:08,0.4,已完工,油压,BUM
WO-2025-000079,WLC-013,C008,岚图汽车,204,P1,2025-06-27 16:00:00,2025-07-01 13:00:00,2025-07-01 15:04:17,0.36,已完工,双色,WLC
WO-2024-000080,LRB-003,C006,小鹏汽车,160,P2,2024-03-26 09:00:00,2024-04-04 11:00:00,2024-04-04 01:55:53,1.01,已完工,两板,LRB
WO-2024-000081,LRB-018,C009,路特斯,80,P2,2024-07-22 08:00:00,2024-07-27 06:00:00,2024-07-27 05:02:26,0.33,已完工,两板,LRB
WO-2024-000082,LFR-009,C002,本田技研,139,P2,2024-09-28 10:00:00,2024-10-06 06:00:00,,0.2,加工中,两板,LFR
WO-2024-000083,DRH-002,C005,比亚迪,160,P2,2024-01-21 10:00:00,2024-01-28 05:00:00,,0.16,待开工,全电动,DRH
WO-2024-000084,BUM-025,C014,阿维塔,62,P2,2024-04-18 10:00:00,2024-04-27 21:00:00,2024-04-27 09:26:18,0.38,已完工,油压,BUM
WO-2026-000085,BUM-013,C001,东风彼欧,50,P2,2026-02-16 13:00:00,2026-02-25 00:00:00,2026-02-25 03:45:09,0.11,已完工,油压,BUM
WO-2025-000086,TLM-001,C020,采埃孚,107,P1,2025-01-03 08:00:00,2025-01-05 15:00:00,,0.16,加工中,油压,TLM
WO-2026-000087,TLP-018,C012,蔚来汽车,97,P1,2026-03-02 16:00:00,2026-03-04 21:00:00,2026-03-04 22:19:41,0.76,已完工,双色,TLP
WO-2026-000088,HND-016,C013,问界,52,P2,2026-03-02 10:00:00,2026-03-12 05:00:00,,0.06,待开工,油压,HND
WO-2024-000089,HND-024,C001,东风彼欧,637,P2,2024-04-20 14:00:00,2024-04-25 06:00:00,2024-04-24 22:46:24,2.08,已完工,油压,HND
WO-2025-000090,HND-028,C016,安波福,632,P2,2025-06-18 09:00:00,2025-06-22 16:00:00,2025-06-22 17:15:33,0.25,已完工,油压,HND
WO-2025-000091,VEN-028,C015,马瑞利,490,P2,2025-01-08 11:00:00,2025-01-17 00:00:00,2025-01-16 13:40:34,0.28,已完工,全电动,VEN
WO-2024-000092,DRH-022,C017,麦格纳,222,P1,2024-10-23 17:00:00,2024-10-27 23:00:00,2024-10-27 21:07:49,1.35,已完工,全电动,DRH
WO-2024-000093,CUP-021,C016,安波福,321,P1,2024-09-30 18:00:00,2024-10-03 16:00:00,2024-10-03 04:25:29,0.41,已完工,全电动,CUP
WO-2025-000094,LFR-017,C016,安波福,634,P2,2025-01-18 13:00:00,2025-01-25 16:00:00,2025-01-25 18:03:12,1.33,已完工,两板,LFR
WO-2024-000095,BUM-018,C002,本田技研,101,P2,2024-06-24 16:00:00,2024-06-29 16:00:00,,0.36,加工中,油压,BUM
WO-2024-000096,HND-027,C002,本田技研,280,P2,2024-03-04 13:00:00,2024-03-13 00:00:00,2024-03-12 16:22:14,0.43,已完工,油压,HND
WO-2024-000097,LRB-009,C013,问界,331,P2,2024-09-17 12:00:00,2024-09-22 20:00:00,2024-09-22 08:33:42,0.46,已完工,两板,LRB
WO-2024-000098,DRH-022,C013,问界,427,P1,2024-11-16 13:00:00,2024-11-20 12:00:00,2024-11-20 02:53:23,2.76,已完工,全电动,DRH
WO-2024-000099,VEN-001,C003,伟世通,459,P2,2024-06-04 09:00:00,2024-06-09 00:00:00,,0.92,待开工,全电动,VEN
WO-2025-000100,TLP-016,C020,采埃孚,50,P2,2025-03-08 18:00:00,2025-03-15 11:00:00,2025-03-15 02:05:08,0.01,已完工,双色,TLP
WO-2025-000101,HND-020,C010,极氪,585,P0,2025-06-18 17:00:00,2025-06-19 20:00:00,,5.0,待开工,油压,HND
WO-2024-000102,VEN-011,C011,理想汽车,263,P2,2024-09-20 18:00:00,2024-09-26 20:00:00,2024-09-26 18:24:44,3.97,已完工,全电动,VEN
WO-2024-000103,TLP-006,C018,李尔,120,P2,2024-04-29 12:00:00,2024-05-04 19:00:00,2024-05-05 00:32:27,0.23,已完工,双色,TLP
WO-2024-000104,TLM-009,C019,布雷博,118,P1,2024-06-16 08:00:00,2024-06-19 03:00:00,,0.13,加工中,油压,TLM
WO-2024-000105,TLP-006,C019,布雷博,440,P1,2024-09-14 16:00:00,2024-09-17 09:00:00,2024-09-17 08:17:53,0.92,已完工,双色,TLP
WO-2026-000106,HND-027,C017,麦格纳,81,P0,2026-04-17 09:00:00,2026-04-18 13:00:00,2026-04-18 06:47:39,0.12,已完工,油压,HND
WO-2024-000107,BUM-026,C006,小鹏汽车,235,P2,2024-11-07 18:00:00,2024-11-15 20:00:00,2024-11-15 22:52:12,1.09,已完工,油压,BUM
WO-2024-000108,LFR-015,C007,零跑汽车,114,P2,2024-06-07 17:00:00,2024-06-12 07:00:00,2024-06-12 08:05:08,0.21,已完工,两板,LFR
WO-2025-000109,BUM-024,C008,岚图汽车,92,P1,2025-08-20 10:00:00,2025-08-24 17:00:00,2025-08-24 17:36:32,0.47,已完工,油压,BUM
WO-2025-000110,DUO-022,C005,比亚迪,265,P1,2025-08-09 18:00:00,2025-08-13 12:00:00,,0.35,加工中,双色,DUO
WO-2025-000111,TLP-019,C001,东风彼欧,1813,P2,2025-04-06 14:00:00,2025-04-12 23:00:00,2025-04-12 22:41:15,6.08,已完工,双色,TLP
WO-2024-000112,CUP-005,C015,马瑞利,201,P1,2024-03-18 08:00:00,2024-03-21 18:00:00,,0.06,待开工,全电动,CUP
WO-2026-000113,WLC-010,C014,阿维塔,243,P2,2026-02-15 16:00:00,2026-02-20 11:00:00,2026-02-20 10:35:32,3.02,已完工,双色,WLC
WO-2024-000114,TLM-012,C008,岚图汽车,94,P0,2024-10-05 15:00:00,2024-10-06 22:00:00,2024-10-06 12:00:58,0.63,已完工,油压,TLM
WO-2025-000115,BUM-012,C005,比亚迪,145,P1,2025-10-18 18:00:00,2025-10-22 18:00:00,2025-10-22 18:31:04,0.35,已完工,油压,BUM
WO-2024-000116,TLM-011,C014,阿维塔,380,P2,2024-04-25 13:00:00,2024-05-02 15:00:00,2024-05-02 06:41:00,1.26,已完工,油压,TLM
WO-2024-000117,HND-016,C015,马瑞利,226,P1,2024-09-05 09:00:00,2024-09-09 00:00:00,2024-09-09 05:09:01,0.27,已完工,油压,HND
WO-2026-000118,HND-015,C020,采埃孚,95,P2,2026-04-20 11:00:00,2026-04-27 07:00:00,2026-04-26 22:17:54,0.05,已完工,油压,HND
WO-2025-000119,HND-008,C014,阿维塔,172,P2,2025-12-04 18:00:00,2025-12-12 21:00:00,2025-12-12 11:44:35,0.19,已完工,油压,HND
WO-2025-000120,CUP-027,C008,岚图汽车,249,P2,2025-05-30 09:00:00,2025-06-03 16:00:00,2025-06-03 14:07:16,0.34,已完工,全电动,CUP
WO-2025-000121,DRH-028,C009,路特斯,209,P0,2025-02-20 11:00:00,2025-02-22 07:00:00,2025-02-22 09:32:45,1.02,已完工,全电动,DRH
WO-2024-000122,BUM-008,C017,麦格纳,473,P1,2024-08-31 08:00:00,2024-09-04 17:00:00,,0.9,待开工,油压,BUM
WO-2025-000123,VEN-006,C001,东风彼欧,136,P0,2025-10-22 12:00:00,2025-10-23 11:00:00,,0.45,待开工,全电动,VEN
WO-2025-000124,LRB-011,C010,极氪,80,P2,2025-05-18 17:00:00,2025-05-25 09:00:00,2025-05-25 06:10:22,0.17,已完工,两板,LRB
WO-2024-000125,CUP-018,C011,理想汽车,50,P1,2024-10-04 18:00:00,2024-10-07 21:00:00,2024-10-07 21:57:10,0.03,已完工,全电动,CUP
WO-2026-000126,CUP-009,C007,零跑汽车,275,P2,2026-03-14 15:00:00,2026-03-21 00:00:00,,4.5,待开工,全电动,CUP
WO-2025-000127,BUM-018,C004,佛吉亚,186,P1,2025-03-02 10:00:00,2025-03-06 22:00:00,2025-03-06 14:24:49,0.65,已完工,油压,BUM
WO-2026-000128,TLP-022,C005,比亚迪,114,P0,2026-04-14 18:00:00,2026-04-16 01:00:00,2026-04-16 00:33:14,0.8,已完工,双色,TLP
WO-2025-000129,DUO-022,C006,小鹏汽车,229,P2,2025-04-14 09:00:00,2025-04-20 13:00:00,2025-04-20 12:46:39,0.34,已完工,双色,DUO
WO-2025-000130,CUP-008,C009,路特斯,208,P2,2025-03-01 08:00:00,2025-03-11 04:00:00,2025-03-11 08:16:43,0.52,已完工,全电动,CUP
WO-2025-000131,HND-019,C019,布雷博,234,P1,2025-12-23 10:00:00,2025-12-26 04:00:00,2025-12-25 23:50:24,0.35,已完工,油压,HND
WO-2025-000132,DRH-003,C012,蔚来汽车,194,P1,2025-09-18 11:00:00,2025-09-21 11:00:00,2025-09-21 02:23:29,0.24,已完工,全电动,DRH
WO-2024-000133,WLC-019,C013,问界,50,P2,2024-05-26 12:00:00,2024-05-31 05:00:00,,0.19,加工中,双色,WLC
WO-2024-000134,HND-008,C013,问界,286,P2,2024-06-28 14:00:00,2024-07-03 02:00:00,2024-07-02 21:21:35,0.34,已完工,油压,HND
WO-2026-000135,DRH-005,C008,岚图汽车,585,P1,2026-02-17 14:00:00,2026-02-19 17:00:00,2026-02-19 16:13:33,2.1,已完工,全电动,DRH
WO-2026-000136,LFR-006,C014,阿维塔,469,P1,2026-04-07 15:00:00,2026-04-10 04:00:00,,0.39,待开工,两板,LFR
WO-2026-000137,DRH-021,C009,路特斯,137,P2,2026-01-08 15:00:00,2026-01-16 05:00:00,2026-01-15 21:23:47,0.63,已完工,全电动,DRH
WO-2024-000138,DUO-003,C017,麦格纳,188,P2,2024-02-17 18:00:00,2024-02-27 09:00:00,2024-02-27 05:25:04,0.83,已完工,双色,DUO
WO-2026-000139,VEN-004,C011,理想汽车,94,P2,2026-01-20 09:00:00,2026-01-29 08:00:00,2026-01-28 21:52:19,0.16,已完工,全电动,VEN
WO-2025-000140,WLC-001,C018,李尔,55,P1,2025-08-15 14:00:00,2025-08-18 23:00:00,2025-08-18 16:08:21,0.33,已完工,双色,WLC
WO-2024-000141,BUM-016,C011,理想汽车,68,P2,2024-10-15 15:00:00,2024-10-22 04:00:00,2024-10-21 21:46:32,1.28,已完工,油压,BUM
WO-2025-000142,DRH-007,C020,采埃孚,50,P1,2025-07-05 08:00:00,2025-07-09 18:00:00,2025-07-09 20:16:14,0.17,已完工,全电动,DRH
WO-2025-000143,BUM-016,C013,问界,171,P0,2025-05-27 14:00:00,2025-05-29 06:00:00,2025-05-29 06:18:19,3.09,已完工,油压,BUM
WO-2024-000144,LRB-011,C005,比亚迪,392,P1,2024-02-17 18:00:00,2024-02-20 22:00:00,2024-02-20 13:45:52,0.95,已完工,两板,LRB
WO-2024-000145,WLC-012,C013,问界,287,P2,2024-10-05 13:00:00,2024-10-14 05:00:00,2024-10-13 23:09:07,1.92,已完工,双色,WLC
WO-2025-000146,VEN-019,C017,麦格纳,517,P2,2025-10-05 18:00:00,2025-10-10 14:00:00,2025-10-10 12:21:05,2.75,已完工,全电动,VEN
WO-2024-000147,VEN-017,C008,岚图汽车,110,P2,2024-11-04 14:00:00,2024-11-12 18:00:00,2024-11-12 22:03:54,0.39,已完工,全电动,VEN
WO-2024-000148,DUO-006,C015,马瑞利,1425,P2,2024-10-25 15:00:00,2024-10-30 02:00:00,2024-10-30 01:50:53,4.52,已完工,双色,DUO
WO-2024-000149,DUO-020,C001,东风彼欧,362,P2,2024-11-02 14:00:00,2024-11-08 06:00:00,,4.57,加工中,双色,DUO
WO-2025-000150,LRB-004,C011,理想汽车,583,P2,2025-10-19 09:00:00,2025-10-23 21:00:00,2025-10-23 22:13:15,2.19,已完工,两板,LRB
WO-2026-000151,TLP-020,C015,马瑞利,201,P2,2026-03-16 08:00:00,2026-03-24 17:00:00,2026-03-24 16:52:44,3.45,已完工,双色,TLP
WO-2024-000152,HND-002,C010,极氪,508,P0,2024-01-27 14:00:00,2024-01-29 06:00:00,2024-01-28 20:11:00,2.19,已完工,油压,HND
WO-2024-000153,WLC-013,C003,伟世通,139,P2,2024-09-02 18:00:00,2024-09-08 22:00:00,2024-09-09 02:49:38,0.26,已完工,双色,WLC
WO-2024-000154,TLM-007,C005,比亚迪,51,P2,2024-01-31 18:00:00,2024-02-05 22:00:00,2024-02-05 23:40:20,0.18,已完工,油压,TLM
WO-2025-000155,BUM-014,C011,理想汽车,269,P1,2025-11-19 12:00:00,2025-11-23 13:00:00,2025-11-23 03:47:09,0.6,已完工,油压,BUM
WO-2026-000156,VEN-010,C011,理想汽车,330,P1,2026-02-26 16:00:00,2026-03-01 20:00:00,2026-03-01 13:39:58,1.89,已完工,全电动,VEN
WO-2024-000157,CUP-018,C011,理想汽车,250,P2,2024-02-15 16:00:00,2024-02-20 06:00:00,,0.17,待开工,全电动,CUP
WO-2026-000158,TLP-025,C004,佛吉亚,400,P2,2026-02-07 11:00:00,2026-02-12 23:00:00,2026-02-13 03:13:29,1.65,已完工,双色,TLP
WO-2025-000159,DUO-015,C016,安波福,91,P1,2025-03-22 11:00:00,2025-03-25 04:00:00,2025-03-25 03:09:51,0.17,已完工,双色,DUO
WO-2025-000160,WLC-025,C002,本田技研,255,P1,2025-09-24 15:00:00,2025-09-28 10:00:00,2025-09-28 05:13:17,1.46,已完工,双色,WLC
WO-2024-000161,CUP-011,C011,理想汽车,167,P1,2024-01-30 15:00:00,2024-02-04 00:00:00,2024-02-03 17:30:08,0.34,已完工,全电动,CUP
WO-2025-000162,DRH-022,C020,采埃孚,87,P2,2025-07-01 17:00:00,2025-07-07 05:00:00,2025-07-06 20:37:10,0.52,已完工,全电动,DRH
WO-2024-000163,HND-001,C017,麦格纳,472,P2,2024-02-12 10:00:00,2024-02-17 04:00:00,2024-02-17 09:32:24,1.26,已完工,油压,HND
WO-2024-000164,HND-027,C001,东风彼欧,50,P1,2024-01-29 15:00:00,2024-02-02 05:00:00,2024-02-01 18:44:39,0.09,已完工,油压,HND
WO-2025-000165,VEN-005,C001,东风彼欧,77,P1,2025-08-03 14:00:00,2025-08-06 00:00:00,,0.56,已取消,全电动,VEN
WO-2024-000166,DRH-009,C015,马瑞利,102,P2,2024-01-18 09:00:00,2024-01-28 03:00:00,2024-01-28 08:19:52,0.54,已完工,全电动,DRH
WO-2025-000167,DRH-021,C008,岚图汽车,202,P1,2025-03-30 16:00:00,2025-04-04 14:00:00,2025-04-04 09:51:12,0.89,已完工,全电动,DRH
WO-2024-000168,VEN-017,C012,蔚来汽车,213,P1,2024-08-01 18:00:00,2024-08-05 14:00:00,2024-08-05 06:16:40,0.75,已完工,全电动,VEN
WO-2024-000169,WLC-013,C014,阿维塔,81,P1,2024-11-11 17:00:00,2024-11-16 01:00:00,,0.15,加工中,双色,WLC
WO-2024-000170,LFR-015,C014,阿维塔,70,P1,2024-11-06 08:00:00,2024-11-09 01:00:00,2024-11-08 14:23:01,0.12,已完工,两板,LFR
WO-2025-000171,BUM-018,C018,李尔,50,P2,2025-04-28 10:00:00,2025-05-03 13:00:00,2025-05-03 05:52:01,0.18,已完工,油压,BUM
WO-2024-000172,WLC-021,C007,零跑汽车,50,P1,2024-02-25 14:00:00,2024-03-01 08:00:00,,0.87,加工中,双色,WLC
WO-2025-000173,LFR-022,C015,马瑞利,74,P2,2025-02-01 14:00:00,2025-02-10 06:00:00,2025-02-10 06:01:28,0.06,已完工,两板,LFR
